编号,出题人,知识领域,问题,答案,难度,来源文件,答案出处（如有，贴截图）,测试人员,测试结果（通过/不通过）,AI知识回答原文,备注,Result,结果
,,,,,,,,廉大超,,,,未通过,
1.0,向巍,,消防气压给水设备的安装位置、进出水管方向的检查方法是？,对照图纸、尺量检查和直观检查,中,水喷雾灭火器的技术规范,,廉大超,通过,根据提供的资料，消防气压给水设备的安装位置、进水管及出水管方向应符合设计要求。进水管应连接到消防气压给水设备的进水口，而出水管应连接到消防气压给水设备的出水口。安装时应确保进出水管的方向与设计要求一致，同时在出水管上应设止回阀。此外，消防气压给水设备顶部至楼板或梁底的距离不宜小于0.6m。检查方法可通过对照图纸，尺量检查和直观检查来进行。,,未通过,
2.0,向巍,,水喷雾灭火系统验收应符合哪些规定？,,中,水喷雾灭火器的技术规范,,廉大超,通过,"水喷雾灭火系统的验收应符合以下规定：
1.隐蔽工程在隐蔽前的验收应合格，并按规范表D.0.7记录；
2.质量控制资料核查应全部合格，并按规范表E记录；
3.系统施工质量验收和系统功能验收应合格，并按规范表F记录。

此外，按照规范要求，水喷雾灭火系统的安装要求包括：确保雨淋报警阀组的安装在供水管网试压、冲洗合格后进行；喷头安装在系统试压、冲洗、吹扫合格后进行；系统调试应包括多项内容如水源测试、动力源切换试验等。

管网验收也需要符合多项规定，例如管道材质与规格、管径、连接方式等应符合设计要求；管网放空坡度及辅助排水设施应符合设计要求等。

最后，验收记录应按照相关规定进行记录，包括系统施工质量验收和系统功能验收等内容，并由不同单位进行验收并盖章签字。

希望以上回答能够解决您的问题。如果有其他疑问，请随时提出。",,未通过,
3.0,向巍,,水喷雾灭火器系统子工程含哪些部分？,进场检验、系统实施、系统调试、系统验收,中,水喷雾灭火器的技术规范,,廉大超,通过,水喷雾灭火器系统子工程包括进场检验、系统施工、系统调试和系统验收等部分。具体包括材料进场检验、系统组件进场检验、消防水泵的安装、消防水池、消防水箱、消防气压给水设备、水泵接合器的安装、雨淋报警阀、气动控制阀、电动控制阀的安装、节流管、减压孔板及减压阀的安装、管道、阀门的安装和防腐、保温、伴热的施工、管道试压、冲洗、水寡喷头的安装、水源测试、动力源和备用动力源切换试验、消防水泵调试、稳压泵调试、排水设施调试、联动试验、水喷雾灭火系统施工质量验收和水喷雾灭火系统功能验收。,,未通过,
4.0,向巍,,哪些电源可以作为应急电源,1.独立于正常电源的发电机组。2.供电网络中独立于正常电源的专用的馈电线路。3.蓄电池4，干电池,中,供配电系统设计规范,,廉大超,通过,"根据提供的基础资料，以下电源可以作为应急电源：
1.独立于正常电源的发电机组。
2.供电网络中独立于正常电源的专用的馈电线路。
3.蓄电池。
4.干电池。

同时，还有部分电源可作为应急电源或备用电源：
1.供电网络中独立于正常电源的专用馈电线路。
2.独立于正常电源的发电机组。
3.蓄电池组。

特别需要注意的是，不同级别的医院对应急电源的要求也有所不同，三级医院应设置应急柴油发电机组，二级医院宜设置应急柴油发电机组。在选择应急电源时，应根据容量、供电时间等因素选择相应的形式，包括独立于正常电源的柴油发电机组、蓄电池、干电池等。",,未通过,
5.0,向巍,,33kV供电系统中谐波电压最大允许值是多少,,中,供配电系统设计规范,,廉大超,通过,根据现行国家标准《电能质量公用电网谐波》GB/T14549的规定，33kV供电系统中谐波电压的最大允许值为3%，单独的奇次谐波电压不应超过2%，单独的偶次谐波电压不应超过1%。这是我国对于交流额定频率为50Hz、标称电压110kV及以下的公用电网谐波的明确限制要求。,,未通过,
6.0,向巍,,专线系统中，460v低压系统谐波电压畸变极限值是多少,,高,供配电系统设计规范,,廉大超,通过,460V低压系统的谐波电压畸变限值根据表5的规定，一般系统的谐波电压畸变限值为5%，而专线系统的谐波电压畸变限值为10%。因此，460V低压系统的谐波电压畸变在一般系统中不能超过5%，在专线系统中不能超过10%。,,未通过,
7.0,向巍,,正常环境的建筑物内，低压电容器应如何设置,应分散设置,中,供配电系统设计规范,,廉大超,通过,根据提供的资料，正常环境的建筑物内，低压电容器应该分散设置。低压电容器装置可以设置在低压配电室内，当电容器总容量较大时，宜设置在单独的房间内。此外，低压电容器柜和低压配电屏可同室布置，但宜将低压电容器柜布置在同列屏柜的端部。,,未通过,
8.0,向巍,,大型卡车的车体与墙之间的水平距离应该是多少,0.5m,中,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,不通过,"根据提供的基础资料，大型卡车的车体与墙之间的水平距离应该符合以下规定：
-控制台正面与墙的净距不应小于1.2m；
-机柜或机架前面、背面的净距不应小于0.8m，侧面距离墙的净距不应小于0.6m。

因此，根据规定，大型卡车的车体与墙之间的水平距离应不小于1.2m。",,未通过,
9.0,向巍,,哪些汽车库可不设置人员安全出口,室内无车道且无人员停留的机械式汽车库,低,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,不通过,根据提供的资料，高层汽车库、I类汽车库、I、Ⅱ类地下汽车库、机械立体汽车库、复式汽车库、采用升降梯作汽车疏散出口的汽车库可不设置人员安全出口。这些类型的汽车库在设计时可以不考虑设置人员安全出口。,答案有拓展，为表述标准答案以及溯源文件的人员停留判断标准,未通过,
10.0,向巍,,汽车库采用机械排烟管道时，对应不同材质管道有怎样的风速要求？,,中,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,通过,"根据提供的资料，在汽车库采用机械排烟管道时，对应不同材质管道的风速要求如下：
-当排烟干管采用金属管道时，管道内的风速不应大于20m/s。
-当排烟干管采用非金属管道时，管道内的风速不应大于15m/s。

此外，排气筒出口的风速宜在15m/s～20m/s之间。在设计汽车库通风系统时，还需要考虑送排风量、通风方式、风机数量和设备耐高温等级等因素。同时，对于特定场所如区间隧道和地下车站等，排烟风机应能在250℃时连续有效工作1小时。

希望以上信息能够回答您的问题。如果有其他疑问，请随时提出。",,未通过,
11.0,向巍,,车库内消防车道的宽度是如何规定的？,,中,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,不通过,"消防车库内消防车道的宽度是如何规定的？根据提供的基础资料，消防车库内消防车道的宽度规定如下：
1.车库内消防车外缘之间的净距不应小于2.0m；
2.消防车外缘至边墙、柱子表面的距离不应小于1.0m；
3.消防车外缘至后墙表面的距离不应小于2.5m；
4.消防车外缘至前门垛的距离不应小于1.0m。

此外，消防员进入消防车库的侧门宜双向开启，宽度不宜小于1.4m。根据国家规定，消防车库门的宽度不应小于3.5m。消防车道的规定尺寸旨在确保消防车在紧急情况下能够迅速出动，保障火灾现场的救援和灭火工作顺利进行。",,未通过,
12.0,向巍,,汽车发生火灾时，车内最高温度可达到多少,1000摄氏度,中,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,不通过,根据提供的资料，车内最高温度可达到85℃，这是车载储氢瓶的最高工作温度，不得超过。因此，汽车发生火灾时，车内最高温度可能会达到85℃左右。,,未通过,
13.0,向巍,,不同防火等级的车库防火分区的最大允许面积是多少,,中,GB50067-2014[A010]汽车库、修车库、停车场设计防火规范,,廉大超,不通过,"根据提供的基础资料，不同防火等级的车库防火分区的最大允许面积应根据建筑火灾危险性分类和耐火等级确定。具体划分如下：
-若为轻危险级建筑，防火分区的最大允许使用面积不应大于1500m²。
-若为中危险级建筑，具体情况需根据I级和Ⅱ级的区分来确定最大允许面积。
-若为严重危险级建筑，具体情况需根据I级和Ⅱ级的区分来确定最大允许面积。
-若为仓库危险级建筑，具体情况需根据I级、Ⅱ级和Ⅲ级的区分来确定最大允许面积。

需要根据建筑火灾危险性分类和耐火等级来确定车库防火分区的最大允许面积，确保防火措施的有效性和建筑安全性。",,未通过,
14.0,向巍,,洁净厂房在哪些情况下应设置隔间,,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,根据提供的资料，洁净厂房应在设备安装时宜设临时隔离墙，隔离区内应阻断正压送风，进入隔离区的人员应按进入洁净区的要求。此外，洁净厂房与相邻的房间应保持一定压差，以确保洁净室在正常状态或空气平衡暂时受到破坏时，气流只能从空气洁净度等级高的房间流向空气洁净度等级低的房间，以保持洁净度不受污染空气的影响。洁净厂房在不同区域设置不同功能的房间，如去污区、检查包装及灭菌区、无菌物品存放区，需要设有实际屏障和物品传递窗。因此，在以下情况下应设置隔间：设备安装时需要设临时隔离墙、保持压差、不同功能区域需要隔离等。希望这些信息能帮助您了解洁净厂房设置隔间的情况。如需更多信息，请继续提问。,,未通过,
15.0,向巍,,洁净厂房生活用室夏季温度要求是怎样的,26-30摄氏度,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,"根据提供的基础资料，在洁净厂房中的生活用室夏季温度要求如下：
-浴室、更衣室的温度不应低于25℃；
-办公室、休息室、食堂的温度不应低于18℃；
-盥洗室、厕所的温度不应低于14℃。

因此，在夏季，洁净厂房的生活用室需要保持上述温度要求，以确保舒适和卫生条件。",,未通过,
16.0,向巍,,洁净厂房空气过滤器的配置应符合哪些要求,,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,"洁净厂房空气过滤器的配置应符合以下要求：
1.新风过滤装置的安装应设计成便于更换过滤器、检查压差显示或报警装置。
2.洁净厂房内的空气净化设备安装时，应符合相关规定，如机械式余压阀的安装要求和传递窗的安装要求。
3.施工前厂房应通水、通电，具备动力供应条件；洁净室的净化空调系统应呈空态，并应调试完毕、运行正常、达到所需洁净条件；厂房内公用系统应调试完毕，正常运行；消防系统应正常运行。
4.装配式洁净室的安装要求包括顶板、壁板、地面、吊顶等方面的规范，如材料选择、安装要求、检查方法等。

以上是根据提供的资料整理得出的洁净厂房空气过滤器配置的要求，具体情况还需根据实际情况进行细化设计和实施。希望对您有帮助。",,未通过,
17.0,向巍,,洁净室净化空调应该选用哪种风机,应选用变频风机,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,根据提供的资料，洁净室净化空调应选用风机过滤器机组(FFU)送风方式。FFU送风方式具有空气循环路径短、气流速度低、阻力损失小、风机送风压头低等优点。对于洁净度要求高的洁净室，推荐采用风机过滤器机组(FFU)送风方式。因此，在选择洁净室净化空调的风机时，应考虑采用FFU送风方式的风机。,,未通过,
18.0,向巍,,2级洁净室，每7个月测试一次洁净度符合规范要求吗,不符合,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,通过,根据提供的资料，洁净室的洁净度需要进行定期的检测以确保符合规范要求。根据表16.3.1，送风量、新风量、排风量、静压差和空气洁净度等必测项目的检验时间最长间隔为12个月或6个月，具体视洁净室级别而定。因此，2级洁净室每7个月测试一次洁净度可能不符合规范要求，建议按照规范的检验周期执行洁净度检测。,,未通过,
19.0,向巍,,对于洁净室认证，测试机构要提供哪些证书,检验证书与再检验证书,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,"对于洁净室认证，测试机构在提供证书时需要提供以下内容：
1.洁净手术室专项检测和验收报告，包括施工图、第三方洁净度检测报告和水质检测报告。
2.洁净度检测合格报告，确保洁净度符合标准要求。
3.水质检测报告，确保水质符合要求。
4.医用气体保压记录、隐蔽验收记录、材料送检记录、净化空调系统材料出厂合格证明等相关资料。",,未通过,
20.0,向巍,,哪些情况下，洁净厂房局部排风系统需要单独设置,,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,通过,"根据提供的资料，洁净厂房局部排风系统需要单独设置的情况包括：
1.排风介质混合后能产生或加剧腐蚀性、毒性、燃烧爆炸危险性和发生交叉污染；
2.排风介质中含有毒性的气体；
3.排风介质中含有易燃、易爆气体；
4.不同净化空气调节系统的排风系统、散发粉尘或有害气体区域的排风系统宜单独设置，特别是排放介质混合后会加剧腐蚀、增加毒性、产生燃烧和爆炸危险性或发生交叉污染的区域。

如果还有其他问题或需要进一步了解，请告诉我。",答案有拓展,未通过,
21.0,向巍,,什么是纯水,对电解质含量和非电解质含量均有要求的水,低,GB50073-2013[A010]洁净厂房设计规范,,廉大超,通过,纯水是根据生产需要去除各种离子以及其他杂质的水。纯水也可以指电阻率大于0.1×10⁶Ω·cm的水。撞击采样法是一种用于检测空气中阴阳离子浓度的方法，通过使空气不断和超纯水碰撞，使空气中的成分溶解于纯水中，然后用离子色谱分析仪检测水样中各种成分的含量。,,未通过,
22.0,向巍,,洁净厂房位置选择有哪些要求,,中,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,洁净厂房位置选择的要求包括：厂址场地应相对平整，距外界强振动源及强电磁干扰源较远。根据国家标准《洁净厂房设计规范》GB50073，微电子产业、航天航空和医药产业等行业对环境要求较高，需要在洁净厂房中进行生产。洁净区内的排烟口应采取防倒灌措施，排烟口应采用板式排烟口。此外，洁净厂房应严格控制装修材料的燃烧性能，避免使用易燃、可燃材料。火灾自动报警系统应设置在医疗建筑中，以确保及时警报和联动控制，防止火灾造成人员伤亡。如果有需求，应设有消防联动控制室，主消防控制室能控制重要的消防设备并显示所有火灾报警信号。,,未通过,
23.0,向巍,,什么是机制砂,,低,GB50073-2013[A010]洁净厂房设计规范,,廉大超,不通过,机制砂是指预拌砂浆中利用粉煤灰、人工砂、矿山及工业废料和废渣等资源进行集中利用的一种材料。使用机制砂可以实现资源节约，减少现场扬尘，并具有重要意义。机制砂在建筑工程中扮演着重要的角色，有助于提高施工效率和质量。,,未通过,
24.0,向巍,,采用钢轮压路机时，热拌石油沥青混合料的碾压终了温度是多少,不低于70摄氏度,,GB50092-96[A010]沥青路面施工及验收规范,,廉大超,不通过,根据提供的基础资料，在采用钢轮压路机时，热拌石油沥青混合料的碾压终了温度不应低于110℃。在压实时的开始温度应在150℃~160℃之间，当施工环境温度低于5℃时，开始压实温度应为160℃。这些温度范围可以确保石油沥青混合料在碾压时达到适当的粘结和压实效果。,,未通过,
25.0,向巍,,沥青路面预计施工有哪些注意事项,,中,GB50092-96[A010]沥青路面施工及验收规范,,廉大超,不通过,"沥青路面施工时需要注意以下事项：
1.沥青瓦的贮运、保管应符合规定，包括分别堆放不同类型、规格的产品，贮存温度不高于45℃，避免雨淋、日晒、受潮，注意通风和避免接近火源。
2.站内停车位和道路要符合规定，包括车道或停车位宽度按车辆类型确定，道路转弯半径不小于9m，停车位为平坡，道路坡度不大于8%，停车场和道路路面不采用沥青路面。
3.进场的沥青瓦应进行检验可溶物含量、拉力、耐热度、柔度、不透水性、叠层剥离强度等项目。
4.沥青软化点应低于90℃，石料应干燥，材质应符合设计要求。

希望能对您有所帮助。如果有其他问题，请随时提出。",,未通过,
26.0,向巍,,人行横道沥青层施工有哪些需遵守的规则,,高,GB50092-96[A010]沥青路面施工及验收规范,,廉大超,不通过,"人行横道沥青层施工需要遵守以下规则：
1.碎石灌沥青的垫层施工应按照规定的顺序进行，包括碎石的粒径和夯实程度。
2.沥青的渗入深度必须符合设计要求。
3.垫层表面平整时需要在浇灌热沥青后进行特定步骤，包括撒细石、找平等。
4.铺压完的沥青砂浆和沥青混凝土必须与基层结合牢固，面层应密实平整且无裂纹、起鼓和脱层等现象。
5.施工缝的施工要求斜槽及热烙铁拍实，继续施工时应清理斜槽、预热并涂抹热沥青，并使用热烙铁拍实并拍平至不露痕迹。
6.站区内停车位和道路的设计应符合规定，包括车道宽度、道路转弯半径、停车位坡度等要求。

若您有任何疑问或需要进一步解答，请随时告诉我。",,未通过,
27.0,向巍,,武汉在沥青路面施工气候分区中属于哪个区？最低月平均气温是多少？,,高,GB50092-96[A010]沥青路面施工及验收规范,,石瑞宇,通过,"根据提供的资料，沥青路面施工气候分区中，武汉属于低温开卷性要求的区域。在施工环境温度不宜低于5℃的情况下进
行施工。因此，武汉的最低月平均气温应该会在接近或略高于5℃左右。",,未通过,
28.0,向巍,,电视系统监控室的耐火等级要求是,不低于二级,低,工业电视系统工程设计标准,,石瑞宇,通过,"监控室的耐火等级要求不应低于二级，监控中心应设置在耐火等级为一、二级的建筑中。监控室的土建设计要求也应符合
相关规定，包括监控室内墙壁和顶棚表面应平整、光滑、不起尘，地面应采取防静电措施，室内应设置吊顶，等等。另外，
监控室通向室外的门应向疏散方向开启，而监控室的外窗应采用双层密闭窗。控制室、配电室等设备用房也应采用耐火隔
墙和楼板，且内部装修应采用A级装修材料。弱电间墙体应为耐火极限不低于1.0h的不燃烧体，门应采用丙级防火门。",,未通过,
29.0,向巍,,哪些场所需要设置工业电视系统,,低,工业电视系统工程设计标准,,石瑞宇,通过,"工业电视系统应在以下场所设置：
1.生产流程需要监视的设施
2.生产操作中需要边监视边操作的设备
3.生产作业需要监视又不易直接观察到的工位
4.无人值守场所需要监视的生产装置
5.爆炸危险、有毒有害场所内需要监视的生产部位
6.生产和管理需要设置的其他场所

此外，工业电视系统应在工业企业的生产现场、生产流程、生产装置等场所设置，并且当生产和管理对新建的工业电视系
统有高清图像要求时，应采用高清视频系统。所以，在钢铁冶金、电力、石油天然气开采区、石油天然气管道输送线、化
工、危险化学品生产区、煤矿采区、核电厂、水泥工厂、炼油厂、金属矿山、非金属矿山等场所都需要设置工业电视系统。",,未通过,
30.0,向巍,,对于1080P的视频，实施图像分辨率最低要求是多少,1920*1080,中,工业电视系统工程设计标准,,石瑞宇,通过,"根据提供的资料，针对1080P的视频，实施图像分辨率最低要求是分辨率为1920×1080，帧率不小于25fps。这意味着在
1080P高清视频系统中，前端摄像机的有效像素不低于200万，采用逐行扫描方式，图像比例为16:9，分辨率为1920×1080
，帧率不小于25fps。视频传输、汇聚、存储、显示等环节也需要满足相应的技术要求。因此，对于1080P的视频，实施图
像分辨率最低要求是1920×1080，帧率不低于25fps。",,未通过,
,,,,,,,,,,,,未通过,
,,,,,,,,,,,,未通过,
1.0,高泽洲,,太阳能集热系统施工安装前有哪些规定,,,GB规范类文件,,向希胜,通过,"太阳能集热系统施工安装前应符合以下规定：
1.设计文件应齐备，且已经通过施工图审查。
2.必须具备施工组织设计及施工方案。
3.施工场地必须符合施工组织设计要求。
4.现场水、电、场地、道路等条件必须能够满足正常施工需要。
5.预留基础、孔洞、设施必须符合设计图纸。
6.对于既有建筑，必须经过结构复核，或者具备法定检测机构同意安装太阳能供热采暖系统的鉴定文件。

此外，太阳能集热系统的施工安装过程中，不得破坏建筑物的结构、屋面、地面防水层和附属设施，也不得削弱建筑物承受荷载的能力。施工安装应单独编制施工组织设计，并包括与主体结构施工、设备安装、装饰装修等相关工种的协调配合方案和安全措施等内容",,未通过,
2.0,高泽洲,,10、6kV配电变压器是否需要有载调压变压器,,,GB规范类文件,,向希胜,通过,根据提供的基础资料，10、6kV配电变压器不一定需要有载调压变压器。在一些情况下，当当地的电源电压偏差不能满足要求，且用户对电压有严格要求时，可以考虑使用有载调压变压器。然而，在一般情况下，10、6kV配电变压器不宜采用有载调压变压器。有载调压变压器在价格上比普通变压器贵30%～40%，并且检修工作量也比普通变压器增加1/3。因此，应根据实际情况和需求来决定是否使用有载调压变压器。,,未通过,
3.0,高泽洲,,管道纵断面图的常用比例是多少,,,GB规范类文件,,向希胜,不通过,在管道纵断面图中，常用的比例是纵向1:500，竖向1:50。这意味着在同一图纸中，纵向的比例是1:500，竖向的比例是1:50。竖向比例通常是纵向比例的1/10，并且比例标尺应在图样的左侧进行标注。,,未通过,
4.0,高泽洲,,电力电缆明敷8kV单芯时，支架或吊架的层间距要求,,,GB规范类文件,,向希胜,通过,根据提供的基础资料，电力电缆明敷8kV单芯时，支架或吊架的层间距要求为150mm至250mm。若设计文件无具体要求，需要符合该范围内的要求，且层间净距不应小于2倍电缆外径加10mm。同时，最上层电缆支架距构筑物顶板或梁底的最小净距应符合相关要求，并不宜小于规定数值再加80mm～150mm。,,未通过,
5.0,高泽洲,,建筑设备监控系统需要采集哪些信息,,,GB规范类文件,,向希胜,通过,建筑设备监控系统需要采集的信息包括但不限于：温度、湿度、流量、压力、压差、液位、照度、气体浓度、电量、冷热量等建筑设备运行基础状态信息。监控系统还应包括对控制中心设备、传感器、执行器、现场控制器等设备的监视、控制、报警和测量。监控模式应与建筑设备的运行工艺相适应，并满足实时状况监控、管理方式及管理策略等进行优化的要求，同时与相关管理需求和公共安全系统信息关联。建筑设备监控系统可包括暖通空调监控系统、变配电监测系统、公共照明监控系统、给排水监控系统、电梯和自动扶梯监测系统及能耗监测系统等。,,未通过,
6.0,高泽洲,,建筑装饰分项验收时，瓷板面层的验收标准是什么,,,GB规范类文件,,向希胜,不通过,"建筑装饰分项验收时，瓷板面层的验收标准如下：
1.瓷板表面应平整、洁净、色泽一致，无裂痕和缺损。
2.瓷板墙面应选用大尺寸直角边瓷板，拼缝应平直，宽度和深度应符合设计要求。
3.瓷板的基底应平整，与基底之间的浇注材料应饱满密实。
4.瓷板墙面的阴阳角应用弧形瓷条过渡。
5.瓷板上的孔洞应切割吻合、边缘整齐，并应密封。
6.瓷板嵌缝应用添加抑菌剂的中性密封胶嵌实。

验收方法为观察瓷板表面，检查其平整度、直线度、高低差等是否符合设计要求。如有明显不良现象，则需进行整改。",,未通过,
7.0,高泽洲,,盘车装置安装前应该检查哪些东西,,,GB规范类文件,,向希胜,通过,"在安装盘车装置之前，应该检查以下内容：
1.盘车装置内部各螺栓及紧固件是否锁紧；
2.盘车装置齿轮是否有裂纹或损伤，并且齿面是否光洁；
3.液压盘车装置油路是否畅通；
4.是否预留了转子轴向热胀值，并且联轴器罩安装后是否保持一定间隙；
5.轴和操作杆穿过外壳处的油封装置是否严密不漏油；
6.盘车装置的组装是否符合相关要求，是否在曲轴就位后进行组装，并且是否调整操作手柄的各个位置，确保动作正确可靠；
7.在搬运和安装盘车装置时，是否采取了防振、防潮、防止框架变形和漆面受损等保护措施，有特殊要求时是否符合产品技术文件的规定。













































希望以上信息能够帮助您。如有其他问题，欢迎继续提问。",,未通过,
8.0,高泽洲,,热电厂的供冷介质有什么规定,,,GB规范类文件,,向希胜,不通过,"根据提供的基础资料，热电厂的供冷介质通常为冷水。规定中未明确规定具体的温度范围，但可以考虑在5℃~9℃之间，并且回水温度通常在10℃~14℃之间。因此，热电厂供冷介质的温度应在这个范围内进行选择。

",,未通过,
9.0,高泽洲,,在起重机供电线路设计中，有哪些减少电压降的措施,,,GB规范类文件,,向希胜,不通过,"在起重机供电线路设计中，为减少电压降可采取以下措施：
1.起重机内部电压降不应超过5%；
2.供电电源线电压降为3%～5%；
3.滑触线电压降为8%～10%；
4.在分段供电的两台变压器的情况下，要确保分段处的并联运行条件，以避免保护电器误动作；
5.确定滑触线电压降时，采用的计算长度应为自供电点至滑触线最远一端；
6.对于大吨位起重机，可由用户和制造商协商确定提高起重机电动机电压来减少电压降。",,未通过,
10.0,高泽洲,,什么情况下照明不能和动力共用一个变压器,,,GB规范类文件,,向希胜,通过,"在以下情况下，照明不能和动力共用一个变压器：
1.当照明负荷较大或动力和照明采用共用变压器严重影响照明质量及光源寿命时，应设照明专用变压器。
2.单台单相负荷较大时，应设单相变压器。
3.冲击性负荷较大，严重影响电能质量时，应设中击负荷专。
4.采用不配出中性线的交流三相中性点不接地系统(IT系统)时，应设照明专用变压器。
5.采用660(690)V交流三相配电系统时，应设照明专用变压器。

这些条件规定了为了保证照明质量和光源寿命而需要设置照明专用变压器的情况。",,未通过,
11.0,高泽洲,,当短路持续时间小于等于五秒时，绝缘导体的截面积应符合什么要求,,,GB规范类文件,,向希胜,,"根据提供的资料，当短路持续时间小于等于五秒时，绝缘导体的截面积应根据以下公式确定：

S≥(I×t)/k

其中，
S为绝缘导体的截面积（mm²）；
I为预期短路电流的交流方均根值（A）；
t为短路持续时间（s）；
k为与导体材料的电阻率、温度系数、热容量相关的系数。

如果短路持续时间小于0.1秒，则导体截面积应满足另一规定：
S≥Pt

其中，
P为对应的值，根据具体情况和表格中的数据进行选择。

因此，在短路持续时间小于等于五秒时，根据具体情况和公式计算，确定绝缘导体的截面积符合要求。",,未通过,
12.0,高泽洲,,频率为12kHz的电动发电机组可以不要空载限制器吗,,,GB规范类文件,,向希胜,不通过,"根据提供的基础资料，对于频率为12kHz的电动发电机组，可以不安装空载限制器。空载限制器通常用于限制发电机在空载情况下的电压和频率波动，确保系统稳定性。然而，在12kHz频率下，通常不需要考虑空载限制器的装设。因此，针对这种情况，可以不要空载限制器。

",,未通过,
13.0,高泽洲,,Gb级别的正压型电气防爆，防爆形式是什么,,,GB规范类文件,,向希胜,不通过,"根据提供的基础资料中关于防爆形式的描述，对于Gb级别的正压型电气防爆设备，防爆形式应该是""py""。这是符合Gb级别防爆设备防爆形式的要求之一。Gb级别的设备在正常运行过程中、在预期的故障条件下不会成为点燃源。

",,未通过,
14.0,高泽洲,,导线侧向风压的分项系数是多少,,,GB规范类文件,,向希胜,不通过,根据提供的资料，导线侧向风压的分项系数取决于不同情况下的风偏影响。在持续运行电压下，风偏后线路导线对杆塔空气间隙的工频50%放电压的系数应符合式(6.2.2-1)，其中统计配合系数k₁取1.13。而在操作过电压下，正极性操作冲击电压波50%放电电压的系数应符合式(6.2.2-2)，其中操作过电压统计配合系数k₃的取值会根据具体情况而定，对单回线路可取1.1。需要根据具体的情况和计算结果来确定导线侧向风压的分项系数。,,未通过,
15.0,高泽洲,,油量4000kg的屋外油浸变压器之间的最小净距有哪些规定,,,GB规范类文件,,向巍,通过,"根据提供的基础资料，油量为4000kg的屋外油浸变压器之间的最小净距需要符合表5.5.4和表14.2.1的规定。

根据表5.5.4：
-35kV及以下电压等级的屋外油浸变压器之间的最小净距是5m。
-66kV电压等级的屋外油浸变压器之间的最小净距是6m。
-110kV电压等级的屋外油浸变压器之间的最小净距是8m。

根据表14.2.1：
-35kV及以下电压等级的屋外油浸变压器之间的最小间距是5m。
-110kV电压等级的屋外油浸变压器之间的最小间距是8m。
-220kV及以上电压等级的屋外油浸变压器之间的最小间距是10m。

因为4000kg的油量超过了2500kg的标准，所以根据上述两个表格，油量为4000kg的屋外油浸变压器之间的最小净距应为8m。",,未通过,
16.0,高泽洲,,预应力电线杆的钢筋有什么要求,,,GB规范类文件,,向巍,通过,"预应力电线杆的钢筋有以下要求：
-钢筋宜采用碳素钢丝、刻痕钢丝、热处理钢筋或冷拉Ⅱ级、Ⅲ级、IV级钢筋。
-预应力筋宜采用预应力钢绞线和预应力螺纹钢筋，并应符合相关国家标准《预应力混凝土用钢绞线》GB/T5224和《预应力混凝土用螺纹钢筋》GB/T20065的要求。
-检验环形钢筋混凝土电杆时，要求外观质量符合一定规定，如不得有裂缝、漏浆、碰伤等情况。
-钢筋混凝土电杆的尺寸允许偏差也有规定，包括整根杆长、外径、壁厚、预留孔间距等方面的要求。
-制造厂名或商标应标记在电杆表面上，并有相应的产品出厂证明书。

如果需要了解更详细的要求，建议查阅相关国家标准《混凝土结构设计规范》GB50010和其他相关标准",,未通过,
17.0,高泽洲,,110kV线路什么故障，需要保护装置：,,,GB规范类文件,,向巍,通过,"根据提供的基础资料，110kV线路需要配置全线速动保护的条件包括：
1.系统安全稳定要求必须装设。对复杂电网中的110kV线路，尤其是短线路，如果线路保护带时限动作切除故障，将会引起电网稳定破坏事故。
2.线路发生三相短路，使发电厂厂用母线或重要用户母线电压低于额定电压的60%时，若线路保护不能快速动作切除故障，可能会造成大面积停电或甩掉大量重要用户。
3.在复杂电网中，特别是短线成环的情况下，线路装置全线速动保护不仅可以快速切除本线故障，还能改善相邻线路保护整定配合关系，提高电网保护性能。

此外，根据规定，110kV线路的其他故障需要装设相应的保护装置包括单相接地短路、相间短路和过负荷。",,未通过,
18.0,高泽洲,,4kV高压电动机回路需要计量有功电能吗,,,GB规范类文件,,向巍,通过,4kV高压电动机回路需要计量有功电能。根据提供的基础资料，3kV及以上高压电动机回路需要计量有功电能，因此4kV高压电动机回路也需要进行有功电能的计量,,未通过,
